ISBN,AuthorID,PrimaryAuthor
1-111-11111-4,9,Y
1-222-32443-7,5,N
1-222-32443-7,11,N
1-222-32443-7,12,Y
1-295-84547-1,7,Y
1-533-73363-8,2,Y
1-559-68777-1,7,Y
1-932-87447-6,8,Y
1-932-87447-6,15,N
2-089-77869-5,6,Y
2-089-77869-5,13,N
2-089-77869-5,14,N
2-122-29058-5,12,Y
2-221-11341-5,12,Y
3-444-95595-4,2,Y
3-445-43341-2,12,Y
3-445-58668-5,12,Y
4-344-22221-1,7,Y
4-668-39283-8,5,Y
5-538-55746-1,7,Y
6-449-68668-8,10,Y
7-999-14432-2,1,N
7-999-14432-2,17,Y
8-330-69586-6,14,Y
9-333-44441-1,7,Y
9-337-55467-3,19,N
9-337-55467-3,20,Y
9-400-55555-2,1,N
9-400-55555-2,17,Y
9-444-43356-3,25,Y
9-444-43356-3,27,N
9-455-61223-3,4,Y
