OwnerID,ISBN,Ranks,Evaluator,Comments,Price,TransactionFlag
2,2-089-77869-5,4,gos,,40.00,b
3,1-295-84547-1,4,gos,,50.00,s
3,1-533-73363-8,3,wwq,,NULL,b
3,4-668-39283-8,3,jwg,,NULL,s
4,2-089-77869-5,4,pop,,75.00,s
4,2-122-29058-5,5,pop,,65.00,s
4,3-444-95595-4,2,pvp,,NULL,s
5,2-122-29058-5,4,pvp,,25.00,s
5,3-444-95595-4,3,pvp,,50.00,s
6,1-932-87447-6,2,rxg,,60.00,b
6,4-668-39283-8,3,rxg,,NULL,s
6,9-333-44441-1,4,bwq,,100.00,b
7,1-559-68777-1,4,efy,,80.00,b
8,2-122-29058-5,2,ggy,,65.00,s
9,3-445-58668-5,1,jwg,,45.00,b
9,4-344-22221-1,3,jwg,,NULL,s
9,5-538-55746-1,4,jwg,,25.00,s
9,8-330-69586-6,2,bgq,,35.00,s
10,1-533-73363-8,3,bgq,,0.00,s
